Molecule,IStr,Wavelength_micron
HD,"I(HD v=1,J=4->v=1,J=3 angle 00 deg)",29.7958
HD,"I(HD v=1,J=5->v=1,J=3 angle 00 deg)",13.3182
HD,"I(HD v=1,J=5->v=1,J=4 angle 00 deg)",24.0827
HD,"I(HD v=1,J=6->v=1,J=4 angle 00 deg)",11.0208
HD,"I(HD v=1,J=6->v=1,J=5 angle 00 deg)",20.3194
HD,"I(HD v=1,J=7->v=1,J=5 angle 00 deg)",9.4512
HD,"I(HD v=1,J=7->v=1,J=6 angle 00 deg)",17.67
HD,"I(HD v=1,J=8->v=1,J=6 angle 00 deg)",8.3182
HD,"I(HD v=1,J=8->v=1,J=7 angle 00 deg)",15.717
HD,"I(HD v=1,J=9->v=1,J=7 angle 00 deg)",7.4678
HD,"I(HD v=1,J=9->v=1,J=8 angle 00 deg)",14.2282
HD,"I(HD v=1,J=10->v=1,J=8 angle 00 deg)",6.8107
HD,"I(HD v=1,J=10->v=1,J=9 angle 00 deg)",13.0643
HD,"I(HD v=2,J=0->v=0,J=1 angle 00 deg)",1.4288
HD,"I(HD v=2,J=0->v=0,J=2 angle 00 deg)",1.4661
HD,"I(HD v=2,J=1->v=0,J=0 angle 00 deg)",1.3948
HD,"I(HD v=2,J=1->v=0,J=1 angle 00 deg)",1.4124
HD,"I(HD v=2,J=1->v=0,J=2 angle 00 deg)",1.4487
HD,"I(HD v=2,J=1->v=0,J=3 angle 00 deg)",1.5066
HD,"I(HD v=2,J=2->v=0,J=0 angle 00 deg)",1.3638
HD,"I(HD v=2,J=2->v=0,J=1 angle 00 deg)",1.3806
HD,"I(HD v=2,J=2->v=0,J=2 angle 00 deg)",1.4154
HD,"I(HD v=2,J=2->v=0,J=3 angle 00 deg)",1.4706
HD,"I(HD v=2,J=2->v=0,J=4 angle 00 deg)",1.5506
HD,"I(HD v=2,J=3->v=0,J=1 angle 00 deg)",1.3359
HD,"I(HD v=2,J=3->v=0,J=2 angle 00 deg)",1.3684
HD,"I(HD v=2,J=3->v=0,J=3 angle 00 deg)",1.42
HD,"I(HD v=2,J=3->v=0,J=4 angle 00 deg)",1.4944
HD,"I(HD v=2,J=3->v=0,J=5 angle 00 deg)",1.5981
HD,"I(HD v=2,J=4->v=0,J=2 angle 00 deg)",1.3109
HD,"I(HD v=2,J=4->v=0,J=3 angle 00 deg)",1.3581
HD,"I(HD v=2,J=4->v=0,J=4 angle 00 deg)",1.4261
HD,"I(HD v=2,J=4->v=0,J=5 angle 00 deg)",1.5202
HD,"I(HD v=2,J=4->v=0,J=6 angle 00 deg)",1.6493
HD,"I(HD v=2,J=5->v=0,J=3 angle 00 deg)",1.2887
HD,"I(HD v=2,J=5->v=0,J=4 angle 00 deg)",1.3497
HD,"I(HD v=2,J=5->v=0,J=5 angle 00 deg)",1.4338
HD,"I(HD v=2,J=5->v=0,J=6 angle 00 deg)",1.548
HD,"I(HD v=2,J=5->v=0,J=7 angle 00 deg)",1.7041
HD,"I(HD v=2,J=6->v=0,J=4 angle 00 deg)",1.2692
HD,"I(HD v=2,J=6->v=0,J=5 angle 00 deg)",1.3432
HD,"I(HD v=2,J=6->v=0,J=6 angle 00 deg)",1.443
HD,"I(HD v=2,J=6->v=0,J=7 angle 00 deg)",1.5778
HD,"I(HD v=2,J=6->v=0,J=8 angle 00 deg)",1.7629
HD,"I(HD v=2,J=7->v=0,J=5 angle 00 deg)",1.2523
HD,"I(HD v=2,J=7->v=0,J=6 angle 00 deg)",1.3386
HD,"I(HD v=2,J=7->v=0,J=7 angle 00 deg)",1.4538
HD,"I(HD v=2,J=7->v=0,J=8 angle 00 deg)",1.6096
HD,"I(HD v=2,J=7->v=0,J=9 angle 00 deg)",1.8257
HD,"I(HD v=2,J=8->v=0,J=6 angle 00 deg)",1.238
HD,"I(HD v=2,J=8->v=0,J=7 angle 00 deg)",1.3358
HD,"I(HD v=2,J=8->v=0,J=8 angle 00 deg)",1.4662
HD,"I(HD v=2,J=8->v=0,J=9 angle 00 deg)",1.6435
HD,"I(HD v=2,J=8->v=0,J=10 angle 00 deg)",1.8927
HD,"I(HD v=2,J=9->v=0,J=7 angle 00 deg)",1.226
HD,"I(HD v=2,J=9->v=0,J=8 angle 00 deg)",1.3349
HD,"I(HD v=2,J=9->v=0,J=9 angle 00 deg)",1.4803
