Molecule,IStr,Wavelength_micron
HD,"I(HD v=16,J=3->v=13,J=5 angle 00 deg)",4.4492
HD,"I(HD v=16,J=4->v=13,J=2 angle 00 deg)",3.6703
HD,"I(HD v=16,J=4->v=13,J=3 angle 00 deg)",3.8223
HD,"I(HD v=16,J=4->v=13,J=4 angle 00 deg)",4.0417
HD,"I(HD v=16,J=4->v=13,J=5 angle 00 deg)",4.347
HD,"I(HD v=16,J=4->v=13,J=6 angle 00 deg)",4.7678
HD,"I(HD v=16,J=5->v=13,J=3 angle 00 deg)",3.7381
HD,"I(HD v=16,J=5->v=13,J=4 angle 00 deg)",3.9477
HD,"I(HD v=16,J=5->v=13,J=5 angle 00 deg)",4.2385
HD,"I(HD v=16,J=5->v=13,J=6 angle 00 deg)",4.6375
HD,"I(HD v=16,J=5->v=13,J=7 angle 00 deg)",5.1894
HD,"I(HD v=16,J=0->v=14,J=1 angle 00 deg)",6.7802
HD,"I(HD v=16,J=0->v=14,J=2 angle 00 deg)",7.0734
HD,"I(HD v=16,J=1->v=14,J=0 angle 00 deg)",6.5744
HD,"I(HD v=16,J=1->v=14,J=1 angle 00 deg)",6.7105
HD,"I(HD v=16,J=1->v=14,J=2 angle 00 deg)",6.9976
HD,"I(HD v=16,J=1->v=14,J=3 angle 00 deg)",7.4697
HD,"I(HD v=16,J=2->v=14,J=0 angle 00 deg)",6.4479
HD,"I(HD v=16,J=2->v=14,J=1 angle 00 deg)",6.5788
HD,"I(HD v=16,J=2->v=14,J=2 angle 00 deg)",6.8545
HD,"I(HD v=16,J=2->v=14,J=3 angle 00 deg)",7.3069
HD,"I(HD v=16,J=2->v=14,J=4 angle 00 deg)",7.9954
HD,"I(HD v=16,J=3->v=14,J=1 angle 00 deg)",6.3991
HD,"I(HD v=16,J=3->v=14,J=2 angle 00 deg)",6.6597
HD,"I(HD v=16,J=3->v=14,J=3 angle 00 deg)",7.0859
HD,"I(HD v=16,J=3->v=14,J=4 angle 00 deg)",7.7316
HD,"I(HD v=16,J=3->v=14,J=5 angle 00 deg)",8.6941
HD,"I(HD v=16,J=4->v=14,J=2 angle 00 deg)",6.4334
HD,"I(HD v=16,J=4->v=14,J=3 angle 00 deg)",6.8303
HD,"I(HD v=16,J=4->v=14,J=4 angle 00 deg)",7.4282
HD,"I(HD v=16,J=4->v=14,J=5 angle 00 deg)",8.3124
HD,"I(HD v=16,J=4->v=14,J=6 angle 00 deg)",9.6409
HD,"I(HD v=16,J=5->v=14,J=3 angle 00 deg)",6.566
HD,"I(HD v=16,J=5->v=14,J=4 angle 00 deg)",7.1167
HD,"I(HD v=16,J=5->v=14,J=5 angle 00 deg)",7.9243
HD,"I(HD v=16,J=5->v=14,J=6 angle 00 deg)",9.1227
HD,"I(HD v=16,J=5->v=14,J=7 angle 00 deg)",10.9756
HD,"I(HD v=16,J=0->v=15,J=1 angle 00 deg)",17.5227
HD,"I(HD v=16,J=0->v=15,J=2 angle 00 deg)",19.1008
HD,"I(HD v=16,J=1->v=15,J=0 angle 00 deg)",16.3961
HD,"I(HD v=16,J=1->v=15,J=1 angle 00 deg)",17.0644
HD,"I(HD v=16,J=1->v=15,J=2 angle 00 deg)",18.5575
HD,"I(HD v=16,J=1->v=15,J=3 angle 00 deg)",21.2888
HD,"I(HD v=16,J=2->v=15,J=0 angle 00 deg)",15.6314
HD,"I(HD v=16,J=2->v=15,J=1 angle 00 deg)",16.2376
HD,"I(HD v=16,J=2->v=15,J=2 angle 00 deg)",17.5838
HD,"I(HD v=16,J=2->v=15,J=3 angle 00 deg)",20.0173
HD,"I(HD v=16,J=2->v=15,J=4 angle 00 deg)",24.3688
HD,"I(HD v=16,J=3->v=15,J=1 angle 00 deg)",15.1855
HD,"I(HD v=16,J=3->v=15,J=2 angle 00 deg)",16.3566
HD,"I(HD v=16,J=3->v=15,J=3 angle 00 deg)",18.4421
HD,"I(HD v=16,J=3->v=15,J=4 angle 00 deg)",22.0735
HD,"I(HD v=16,J=3->v=15,J=5 angle 00 deg)",28.8718
HD,"I(HD v=16,J=4->v=15,J=2 angle 00 deg)",15.0559
HD,"I(HD v=16,J=4->v=15,J=3 angle 00 deg)",16.8051
HD,"I(HD v=16,J=4->v=15,J=4 angle 00 deg)",19.7687
HD,"I(HD v=16,J=4->v=15,J=5 angle 00 deg)",25.0516
HD,"I(HD v=16,J=4->v=15,J=6 angle 00 deg)",35.9188
HD,"I(HD v=16,J=5->v=15,J=3 angle 00 deg)",15.2909
HD,"I(HD v=16,J=5->v=15,J=4 angle 00 deg)",17.7061
HD,"I(HD v=16,J=5->v=15,J=5 angle 00 deg)",21.8292
HD,"I(HD v=16,J=5->v=15,J=6 angle 00 deg)",29.6444
HD,"I(HD v=16,J=5->v=15,J=7 angle 00 deg)",48.3705
HD,"I(HD v=16,J=1->v=16,J=0 angle 00 deg)",652.3874
HD,"I(HD v=16,J=2->v=16,J=0 angle 00 deg)",221.4045
HD,"I(HD v=16,J=2->v=16,J=1 angle 00 deg)",335.1445
HD,"I(HD v=16,J=3->v=16,J=1 angle 00 deg)",137.9141
HD,"I(HD v=16,J=3->v=16,J=2 angle 00 deg)",234.3511
HD,"I(HD v=16,J=4->v=16,J=2 angle 00 deg)",104.7243
HD,"I(HD v=16,J=4->v=16,J=3 angle 00 deg)",189.33
HD,"I(HD v=16,J=5->v=16,J=3 angle 00 deg)",89.4905
HD,"I(HD v=16,J=5->v=16,J=4 angle 00 deg)",169.7049
HD,"I(HD v=17,J=0->v=0,J=1 angle 00 deg)",0.2754
HD,"I(HD v=17,J=0->v=0,J=2 angle 00 deg)",0.2767
HD,"I(HD v=17,J=1->v=0,J=0 angle 00 deg)",0.2747
HD,"I(HD v=17,J=1->v=0,J=1 angle 00 deg)",0.2753
HD,"I(HD v=17,J=1->v=0,J=2 angle 00 deg)",0.2767
HD,"I(HD v=17,J=1->v=0,J=3 angle 00 deg)",0.2787
HD,"I(HD v=17,J=0->v=1,J=1 angle 00 deg)",0.3059
HD,"I(HD v=17,J=0->v=1,J=2 angle 00 deg)",0.3075
HD,"I(HD v=17,J=1->v=1,J=0 angle 00 deg)",0.3051
HD,"I(HD v=17,J=1->v=1,J=1 angle 00 deg)",0.3059
HD,"I(HD v=17,J=1->v=1,J=2 angle 00 deg)",0.3075
HD,"I(HD v=17,J=1->v=1,J=3 angle 00 deg)",0.3099
HD,"I(HD v=17,J=0->v=2,J=1 angle 00 deg)",0.3421
HD,"I(HD v=17,J=0->v=2,J=2 angle 00 deg)",0.344
HD,"I(HD v=17,J=1->v=2,J=0 angle 00 deg)",0.3411
HD,"I(HD v=17,J=1->v=2,J=1 angle 00 deg)",0.342
HD,"I(HD v=17,J=1->v=2,J=2 angle 00 deg)",0.3439
HD,"I(HD v=17,J=1->v=2,J=3 angle 00 deg)",0.3468
HD,"I(HD v=17,J=0->v=3,J=1 angle 00 deg)",0.3853
HD,"I(HD v=17,J=0->v=3,J=2 angle 00 deg)",0.3876
HD,"I(HD v=17,J=1->v=3,J=0 angle 00 deg)",0.3841
HD,"I(HD v=17,J=1->v=3,J=1 angle 00 deg)",0.3852
HD,"I(HD v=17,J=1->v=3,J=2 angle 00 deg)",0.3875
HD,"I(HD v=17,J=1->v=3,J=3 angle 00 deg)",0.391
HD,"I(HD v=17,J=0->v=4,J=1 angle 00 deg)",0.4376
HD,"I(HD v=17,J=0->v=4,J=2 angle 00 deg)",0.4405
HD,"I(HD v=17,J=1->v=4,J=0 angle 00 deg)",0.4361
HD,"I(HD v=17,J=1->v=4,J=1 angle 00 deg)",0.4376
HD,"I(HD v=17,J=1->v=4,J=2 angle 00 deg)",0.4404
HD,"I(HD v=17,J=1->v=4,J=3 angle 00 deg)",0.4447
HD,"I(HD v=17,J=0->v=5,J=1 angle 00 deg)",0.5021
HD,"I(HD v=17,J=0->v=5,J=2 angle 00 deg)",0.5057
HD,"I(HD v=17,J=1->v=5,J=0 angle 00 deg)",0.5003
HD,"I(HD v=17,J=1->v=5,J=1 angle 00 deg)",0.5021
HD,"I(HD v=17,J=1->v=5,J=2 angle 00 deg)",0.5056
HD,"I(HD v=17,J=1->v=5,J=3 angle 00 deg)",0.511
HD,"I(HD v=17,J=0->v=6,J=1 angle 00 deg)",0.5831
HD,"I(HD v=17,J=0->v=6,J=2 angle 00 deg)",0.5877
HD,"I(HD v=17,J=1->v=6,J=0 angle 00 deg)",0.5808
HD,"I(HD v=17,J=1->v=6,J=1 angle 00 deg)",0.583
HD,"I(HD v=17,J=1->v=6,J=2 angle 00 deg)",0.5876
HD,"I(HD v=17,J=1->v=6,J=3 angle 00 deg)",0.5945
HD,"I(HD v=17,J=0->v=7,J=1 angle 00 deg)",0.6871
HD,"I(HD v=17,J=0->v=7,J=2 angle 00 deg)",0.6931
HD,"I(HD v=17,J=1->v=7,J=0 angle 00 deg)",0.684
HD,"I(HD v=17,J=1->v=7,J=1 angle 00 deg)",0.6869
HD,"I(HD v=17,J=1->v=7,J=2 angle 00 deg)",0.6929
HD,"I(HD v=17,J=1->v=7,J=3 angle 00 deg)",0.702
HD,"I(HD v=17,J=0->v=8,J=1 angle 00 deg)",0.8242
HD,"I(HD v=17,J=0->v=8,J=2 angle 00 deg)",0.8323
HD,"I(HD v=17,J=1->v=8,J=0 angle 00 deg)",0.8199
HD,"I(HD v=17,J=1->v=8,J=1 angle 00 deg)",0.824
HD,"I(HD v=17,J=1->v=8,J=2 angle 00 deg)",0.832
HD,"I(HD v=17,J=1->v=8,J=3 angle 00 deg)",0.8444
HD,"I(HD v=17,J=0->v=9,J=1 angle 00 deg)",1.011
HD,"I(HD v=17,J=0->v=9,J=2 angle 00 deg)",1.0224
HD,"I(HD v=17,J=1->v=9,J=0 angle 00 deg)",1.0051
HD,"I(HD v=17,J=1->v=9,J=1 angle 00 deg)",1.0107
HD,"I(HD v=17,J=1->v=9,J=2 angle 00 deg)",1.0221
HD,"I(HD v=17,J=1->v=9,J=3 angle 00 deg)",1.0395
HD,"I(HD v=17,J=0->v=10,J=1 angle 00 deg)",1.2764
HD,"I(HD v=17,J=0->v=10,J=2 angle 00 deg)",1.2933
HD,"I(HD v=17,J=1->v=10,J=0 angle 00 deg)",1.2677
HD,"I(HD v=17,J=1->v=10,J=1 angle 00 deg)",1.2759
HD,"I(HD v=17,J=1->v=10,J=2 angle 00 deg)",1.2927
HD,"I(HD v=17,J=1->v=10,J=3 angle 00 deg)",1.3186
HD,"I(HD v=17,J=0->v=11,J=1 angle 00 deg)",1.6745
HD,"I(HD v=17,J=0->v=11,J=2 angle 00 deg)",1.701
HD,"I(HD v=17,J=1->v=11,J=0 angle 00 deg)",1.6606
HD,"I(HD v=17,J=1->v=11,J=1 angle 00 deg)",1.6736
HD,"I(HD v=17,J=1->v=11,J=2 angle 00 deg)",1.7001
HD,"I(HD v=17,J=1->v=11,J=3 angle 00 deg)",1.7411
HD,"I(HD v=17,J=0->v=12,J=1 angle 00 deg)",2.3162
HD,"I(HD v=17,J=0->v=12,J=2 angle 00 deg)",2.3619
HD,"I(HD v=17,J=1->v=12,J=0 angle 00 deg)",2.2922
HD,"I(HD v=17,J=1->v=12,J=1 angle 00 deg)",2.3145
HD,"I(HD v=17,J=1->v=12,J=2 angle 00 deg)",2.3602
HD,"I(HD v=17,J=1->v=12,J=3 angle 00 deg)",2.4314
HD,"I(HD v=17,J=0->v=13,J=1 angle 00 deg)",3.4629
HD,"I(HD v=17,J=0->v=13,J=2 angle 00 deg)",3.5528
HD,"I(HD v=17,J=1->v=13,J=0 angle 00 deg)",3.4157
HD,"I(HD v=17,J=1->v=13,J=1 angle 00 deg)",3.4592
HD,"I(HD v=17,J=1->v=13,J=2 angle 00 deg)",3.5489
HD,"I(HD v=17,J=1->v=13,J=3 angle 00 deg)",3.6907
HD,"I(HD v=17,J=0->v=14,J=1 angle 00 deg)",5.8628
HD,"I(HD v=17,J=0->v=14,J=2 angle 00 deg)",6.0808
HD,"I(HD v=17,J=1->v=14,J=0 angle 00 deg)",5.7483
HD,"I(HD v=17,J=1->v=14,J=1 angle 00 deg)",5.8521
HD,"I(HD v=17,J=1->v=14,J=2 angle 00 deg)",6.0692
HD,"I(HD v=17,J=1->v=14,J=3 angle 00 deg)",6.4213
HD,"I(HD v=17,J=0->v=15,J=1 angle 00 deg)",12.4769
HD,"I(HD v=17,J=0->v=15,J=2 angle 00 deg)",13.2568
HD,"I(HD v=17,J=1->v=15,J=0 angle 00 deg)",12.0702
HD,"I(HD v=17,J=1->v=15,J=1 angle 00 deg)",12.4285
HD,"I(HD v=17,J=1->v=15,J=2 angle 00 deg)",13.2021
HD,"I(HD v=17,J=1->v=15,J=3 angle 00 deg)",14.5282
HD,"I(HD v=17,J=0->v=16,J=1 angle 00 deg)",46.4115
HD,"I(HD v=17,J=0->v=16,J=2 angle 00 deg)",53.8718
HD,"I(HD v=17,J=1->v=16,J=0 angle 00 deg)",42.7507
HD,"I(HD v=17,J=1->v=16,J=1 angle 00 deg)",45.7486
HD,"I(HD v=17,J=1->v=16,J=2 angle 00 deg)",52.9807
HD,"I(HD v=17,J=1->v=16,J=3 angle 00 deg)",68.457
HD,"I(HD v=17,J=1->v=17,J=0 angle 00 deg)",3202.9724
H218O,"I(H218O J=6,ka=1,kc=6->J=5,ka=2,kc=3 angle 00 deg)",0.1877
H218O,"I(H218O J=3,ka=1,kc=3->J=2,ka=2,kc=0 angle 00 deg)",6.7849
H218O,"I(H218O J=10,ka=2,kc=9->J=9,ka=3,kc=6 angle 00 deg)",8.469
H218O,"I(H218O J=5,ka=1,kc=5->J=4,ka=2,kc=2 angle 00 deg)",10.7563
H218O,"I(H218O J=4,ka=1,kc=4->J=3,ka=2,kc=1 angle 00 deg)",13.0293
H218O,"I(H218O J=4,ka=2,kc=3->J=3,ka=3,kc=0 angle 00 deg)",16.3131
H218O,"I(H218O J=6,ka=2,kc=4->J=7,ka=1,kc=7 angle 00 deg)",17.2514
H218O,"I(H218O J=6,ka=4,kc=3->J=5,ka=5,kc=0 angle 00 deg)",17.35
H218O,"I(H218O J=7,ka=5,kc=3->J=6,ka=6,kc=0 angle 00 deg)",17.795
H218O,"I(H218O J=5,ka=3,kc=3->J=4,ka=4,kc=0 angle 00 deg)",17.9237
H218O,"I(H218O J=7,ka=5,kc=2->J=6,ka=6,kc=1 angle 00 deg)",18.009
H218O,"I(H218O J=1,ka=1,kc=0->J=1,ka=0,kc=1 angle 00 deg)",18.2685
H218O,"I(H218O J=6,ka=4,kc=2->J=5,ka=5,kc=1 angle 00 deg)",18.5082
H218O,"I(H218O J=5,ka=3,kc=2->J=4,ka=4,kc=1 angle 00 deg)",23.0853
H218O,"I(H218O J=2,ka=1,kc=1->J=2,ka=0,kc=2 angle 00 deg)",24.8612
H218O,"I(H218O J=9,ka=2,kc=8->J=8,ka=3,kc=5 angle 00 deg)",28.58
H218O,"I(H218O J=4,ka=2,kc=2->J=3,ka=3,kc=1 angle 00 deg)",32.3649
H218O,"I(H218O J=2,ka=0,kc=2->J=1,ka=1,kc=1 angle 00 deg)",33.1787
H218O,"I(H218O J=5,ka=2,kc=4->J=4,ka=3,kc=1 angle 00 deg)",33.4657
H218O,"I(H218O J=3,ka=1,kc=2->J=3,ka=0,kc=3 angle 00 deg)",36.5463
H218O,"I(H218O J=1,ka=1,kc=1->J=0,ka=0,kc=0 angle 00 deg)",36.7487
H218O,"I(H218O J=3,ka=2,kc=1->J=3,ka=1,kc=2 angle 00 deg)",37.9163
H218O,"I(H218O J=3,ka=1,kc=2->J=2,ka=2,kc=1 angle 00 deg)",39.4071
H218O,"I(H218O J=7,ka=2,kc=5->J=8,ka=1,kc=8 angle 00 deg)",39.4542
H218O,"I(H218O J=4,ka=2,kc=2->J=4,ka=1,kc=3 angle 00 deg)",39.6562
H218O,"I(H218O J=2,ka=2,kc=0->J=2,ka=1,kc=1 angle 00 deg)",39.9945
H218O,"I(H218O J=6,ka=3,kc=4->J=5,ka=4,kc=1 angle 00 deg)",40.5897
H218O,"I(H218O J=7,ka=4,kc=4->J=6,ka=5,kc=1 angle 00 deg)",41.7812
H218O,"I(H218O J=8,ka=4,kc=5->J=9,ka=1,kc=8 angle 00 deg)",41.873
H218O,"I(H218O J=8,ka=5,kc=4->J=7,ka=6,kc=1 angle 00 deg)",42.193
H218O,"I(H218O J=8,ka=2,kc=7->J=7,ka=3,kc=4 angle 00 deg)",42.3646
H218O,"I(H218O J=7,ka=4,kc=4->J=8,ka=1,kc=7 angle 00 deg)",42.4009
H218O,"I(H218O J=8,ka=5,kc=3->J=7,ka=6,kc=2 angle 00 deg)",43.037
H218O,"I(H218O J=6,ka=2,kc=5->J=5,ka=3,kc=2 angle 00 deg)",44.7221
H218O,"I(H218O J=7,ka=4,kc=3->J=6,ka=5,kc=2 angle 00 deg)",45.6235
H218O,"I(H218O J=9,ka=4,kc=6->J=10,ka=1,kc=9 angle 00 deg)",46.745
H218O,"I(H218O J=5,ka=2,kc=3->J=5,ka=1,kc=4 angle 00 deg)",46.798
H218O,"I(H218O J=7,ka=2,kc=6->J=6,ka=3,kc=3 angle 00 deg)",47.9878
H218O,"I(H218O J=8,ka=5,kc=4->J=9,ka=2,kc=7 angle 00 deg)",48.168
H218O,"I(H218O J=6,ka=4,kc=3->J=7,ka=1,kc=6 angle 00 deg)",49.3387
H218O,"I(H218O J=4,ka=1,kc=3->J=4,ka=0,kc=4 angle 00 deg)",53.5692
H218O,"I(H218O J=6,ka=3,kc=3->J=5,ka=4,kc=2 angle 00 deg)",54.0659
H218O,"I(H218O J=2,ka=2,kc=1->J=2,ka=1,kc=2 angle 00 deg)",54.4872
H218O,"I(H218O J=2,ka=1,kc=2->J=1,ka=0,kc=1 angle 00 deg)",55.2337
H218O,"I(H218O J=4,ka=3,kc=2->J=5,ka=0,kc=5 angle 00 deg)",55.2448
H218O,"I(H218O J=5,ka=3,kc=3->J=6,ka=0,kc=6 angle 00 deg)",55.75
H218O,"I(H218O J=3,ka=0,kc=3->J=2,ka=1,kc=2 angle 00 deg)",57.348
H218O,"I(H218O J=6,ka=3,kc=3->J=6,ka=2,kc=4 angle 00 deg)",57.3722
H218O,"I(H218O J=7,ka=3,kc=4->J=7,ka=2,kc=5 angle 00 deg)",59.0966
H218O,"I(H218O J=6,ka=2,kc=4->J=6,ka=1,kc=5 angle 00 deg)",60.0577
H218O,"I(H218O J=5,ka=3,kc=2->J=5,ka=2,kc=3 angle 00 deg)",60.5702
H218O,"I(H218O J=7,ka=3,kc=5->J=6,ka=4,kc=2 angle 00 deg)",60.5742
H218O,"I(H218O J=3,ka=3,kc=1->J=4,ka=0,kc=4 angle 00 deg)",60.8605
H218O,"I(H218O J=6,ka=3,kc=4->J=7,ka=0,kc=7 angle 00 deg)",61.6047
H218O,"I(H218O J=3,ka=2,kc=2->J=3,ka=1,kc=3 angle 00 deg)",63.1879
H218O,"I(H218O J=5,ka=4,kc=2->J=6,ka=1,kc=5 angle 00 deg)",63.364
H218O,"I(H218O J=8,ka=2,kc=6->J=9,ka=1,kc=9 angle 00 deg)",63.9289
H218O,"I(H218O J=8,ka=4,kc=5->J=7,ka=5,kc=2 angle 00 deg)",65.433
H218O,"I(H218O J=5,ka=2,kc=3->J=4,ka=3,kc=2 angle 00 deg)",65.867
H218O,"I(H218O J=4,ka=3,kc=1->J=4,ka=2,kc=2 angle 00 deg)",66.243
H218O,"I(H218O J=8,ka=3,kc=5->J=8,ka=2,kc=6 angle 00 deg)",67.1068
H218O,"I(H218O J=4,ka=1,kc=3->J=3,ka=2,kc=2 angle 00 deg)",70.0473
H218O,"I(H218O J=7,ka=5,kc=3->J=8,ka=2,kc=6 angle 00 deg)",70.7678
H218O,"I(H218O J=3,ka=3,kc=0->J=3,ka=2,kc=1 angle 00 deg)",71.5078
H218O,"I(H218O J=3,ka=1,kc=3->J=2,ka=0,kc=2 angle 00 deg)",71.6406
H218O,"I(H218O J=7,ka=3,kc=5->J=8,ka=0,kc=8 angle 00 deg)",71.8493
H218O,"I(H218O J=5,ka=1,kc=4->J=5,ka=0,kc=5 angle 00 deg)",74.3138
H218O,"I(H218O J=4,ka=2,kc=3->J=4,ka=1,kc=4 angle 00 deg)",74.7916
H218O,"I(H218O J=9,ka=4,kc=5->J=9,ka=3,kc=6 angle 00 deg)",75.401
H218O,"I(H218O J=8,ka=4,kc=4->J=7,ka=5,kc=3 angle 00 deg)",75.449
H218O,"I(H218O J=8,ka=3,kc=6->J=7,ka=4,kc=3 angle 00 deg)",76.0063
H218O,"I(H218O J=3,ka=3,kc=1->J=3,ka=2,kc=2 angle 00 deg)",77.3386
H218O,"I(H218O J=7,ka=2,kc=5->J=7,ka=1,kc=6 angle 00 deg)",78.7586
H218O,"I(H218O J=8,ka=4,kc=4->J=8,ka=3,kc=5 angle 00 deg)",79.11
H218O,"I(H218O J=4,ka=0,kc=4->J=3,ka=1,kc=3 angle 00 deg)",79.666
H218O,"I(H218O J=4,ka=3,kc=2->J=4,ka=2,kc=3 angle 00 deg)",80.6714
H218O,"I(H218O J=9,ka=3,kc=6->J=9,ka=2,kc=7 angle 00 deg)",81.598
H218O,"I(H218O J=4,ka=4,kc=1->J=5,ka=1,kc=4 angle 00 deg)",84.2829
H218O,"I(H218O J=9,ka=3,kc=7->J=8,ka=4,kc=4 angle 00 deg)",84.746
H218O,"I(H218O J=8,ka=3,kc=6->J=9,ka=0,kc=9 angle 00 deg)",85.448
H218O,"I(H218O J=7,ka=4,kc=3->J=7,ka=3,kc=4 angle 00 deg)",86.1503
H218O,"I(H218O J=5,ka=3,kc=3->J=5,ka=2,kc=4 angle 00 deg)",86.4281
H218O,"I(H218O J=9,ka=4,kc=6->J=8,ka=5,kc=3 angle 00 deg)",87.273
H218O,"I(H218O J=4,ka=1,kc=4->J=3,ka=0,kc=3 angle 00 deg)",87.4919
H218O,"I(H218O J=9,ka=2,kc=7->J=10,ka=1,kc=10 angle 00 deg)",88.398
H218O,"I(H218O J=7,ka=3,kc=4->J=6,ka=4,kc=3 angle 00 deg)",88.5165
H218O,"I(H218O J=5,ka=2,kc=4->J=5,ka=1,kc=5 angle 00 deg)",88.9524
H218O,"I(H218O J=2,ka=2,kc=1->J=1,ka=1,kc=0 angle 00 deg)",91.4524
H218O,"I(H218O J=6,ka=4,kc=2->J=6,ka=3,kc=3 angle 00 deg)",93.5774
H218O,"I(H218O J=6,ka=3,kc=4->J=6,ka=2,kc=5 angle 00 deg)",94.9317
H218O,"I(H218O J=6,ka=1,kc=5->J=6,ka=0,kc=6 angle 00 deg)",96.3339
H218O,"I(H218O J=2,ka=2,kc=0->J=1,ka=1,kc=1 angle 00 deg)",98.0344
H218O,"I(H218O J=5,ka=4,kc=1->J=5,ka=3,kc=2 angle 00 deg)",99.0641
H218O,"I(H218O J=6,ka=5,kc=2->J=7,ka=2,kc=5 angle 00 deg)",99.6234
H218O,"I(H218O J=5,ka=1,kc=4->J=4,ka=2,kc=3 angle 00 deg)",99.7404
H218O,"I(H218O J=5,ka=0,kc=5->J=4,ka=1,kc=4 angle 00 deg)",100.2182
H218O,"I(H218O J=6,ka=2,kc=4->J=5,ka=3,kc=3 angle 00 deg)",100.6416
H218O,"I(H218O J=8,ka=2,kc=6->J=8,ka=1,kc=7 angle 00 deg)",100.7274
H218O,"I(H218O J=9,ka=3,kc=7->J=10,ka=0,kc=10 angle 00 deg)",101.398
H218O,"I(H218O J=4,ka=4,kc=0->J=4,ka=3,kc=1 angle 00 deg)",101.9701
H218O,"I(H218O J=4,ka=4,kc=1->J=4,ka=3,kc=2 angle 00 deg)",103.3519
H218O,"I(H218O J=5,ka=4,kc=2->J=5,ka=3,kc=3 angle 00 deg)",103.9479
H218O,"I(H218O J=5,ka=1,kc=5->J=4,ka=0,kc=4 angle 00 deg)",103.9817
H218O,"I(H218O J=6,ka=2,kc=5->J=6,ka=1,kc=6 angle 00 deg)",105.1046
H218O,"I(H218O J=6,ka=4,kc=3->J=6,ka=3,kc=4 angle 00 deg)",105.6504
H218O,"I(H218O J=7,ka=3,kc=5->J=7,ka=2,kc=6 angle 00 deg)",106.1638
H218O,"I(H218O J=9,ka=4,kc=5->J=8,ka=5,kc=4 angle 00 deg)",108.831
H218O,"I(H218O J=7,ka=4,kc=4->J=7,ka=3,kc=5 angle 00 deg)",109.1341
H218O,"I(H218O J=3,ka=2,kc=2->J=2,ka=1,kc=1 angle 00 deg)",109.9673
H218O,"I(H218O J=8,ka=4,kc=5->J=8,ka=3,kc=6 angle 00 deg)",114.93
H218O,"I(H218O J=7,ka=1,kc=6->J=7,ka=0,kc=7 angle 00 deg)",117.9164
H218O,"I(H218O J=6,ka=0,kc=6->J=5,ka=1,kc=5 angle 00 deg)",119.6305
H218O,"I(H218O J=8,ka=3,kc=6->J=8,ka=2,kc=7 angle 00 deg)",119.792
H218O,"I(H218O J=8,ka=5,kc=3->J=8,ka=4,kc=4 angle 00 deg)",120.767
H218O,"I(H218O J=6,ka=1,kc=6->J=5,ka=0,kc=5 angle 00 deg)",121.2995
H218O,"I(H218O J=7,ka=2,kc=6->J=7,ka=1,kc=7 angle 00 deg)",122.6114
H218O,"I(H218O J=9,ka=4,kc=6->J=9,ka=3,kc=7 angle 00 deg)",123.294
H218O,"I(H218O J=9,ka=2,kc=7->J=9,ka=1,kc=8 angle 00 deg)",123.437
H218O,"I(H218O J=8,ka=3,kc=5->J=7,ka=4,kc=4 angle 00 deg)",125.4333
H218O,"I(H218O J=7,ka=5,kc=2->J=7,ka=4,kc=3 angle 00 deg)",125.5033
H218O,"I(H218O J=4,ka=2,kc=3->J=3,ka=1,kc=2 angle 00 deg)",125.7372
H218O,"I(H218O J=6,ka=1,kc=5->J=5,ka=2,kc=4 angle 00 deg)",127.012
H218O,"I(H218O J=6,ka=5,kc=1->J=6,ka=4,kc=2 angle 00 deg)",127.9271
H218O,"I(H218O J=5,ka=5,kc=0->J=5,ka=4,kc=1 angle 00 deg)",128.8901
H218O,"I(H218O J=6,ka=5,kc=2->J=6,ka=4,kc=3 angle 00 deg)",129.0433
H218O,"I(H218O J=7,ka=5,kc=3->J=7,ka=4,kc=4 angle 00 deg)",129.0943
H218O,"I(H218O J=5,ka=5,kc=1->J=5,ka=4,kc=2 angle 00 deg)",129.1351
H218O,"I(H218O J=8,ka=5,kc=4->J=8,ka=4,kc=5 angle 00 deg)",129.732
H218O,"I(H218O J=3,ka=2,kc=1->J=2,ka=1,kc=2 angle 00 deg)",131.8106
H218O,"I(H218O J=5,ka=5,kc=1->J=6,ka=2,kc=4 angle 00 deg)",132.4414
H218O,"I(H218O J=7,ka=2,kc=5->J=6,ka=3,kc=4 angle 00 deg)",135.0703
H218O,"I(H218O J=9,ka=3,kc=7->J=9,ka=2,kc=8 angle 00 deg)",135.276
H218O,"I(H218O J=7,ka=0,kc=7->J=6,ka=1,kc=6 angle 00 deg)",138.4316
H218O,"I(H218O J=8,ka=1,kc=7->J=8,ka=0,kc=8 angle 00 deg)",138.5825
H218O,"I(H218O J=7,ka=1,kc=7->J=6,ka=0,kc=6 angle 00 deg)",139.1402
H218O,"I(H218O J=5,ka=2,kc=4->J=4,ka=1,kc=3 angle 00 deg)",139.3649
H218O,"I(H218O J=8,ka=2,kc=7->J=8,ka=1,kc=8 angle 00 deg)",140.9154
H218O,"I(H218O J=3,ka=3,kc=0->J=3,ka=0,kc=3 angle 00 deg)",145.9704
H218O,"I(H218O J=3,ka=3,kc=1->J=2,ka=2,kc=0 angle 00 deg)",147.3114
H218O,"I(H218O J=3,ka=3,kc=0->J=2,ka=2,kc=1 angle 00 deg)",148.8312
H218O,"I(H218O J=7,ka=1,kc=6->J=6,ka=2,kc=5 angle 00 deg)",151.2434
