Object ra dec spt_comb Teff Ter logL logLerr J eJ H eH K eK m36 em36 m45 em45 m58 em58 m80 em80 Ak Aker flag stage disPis24_1 disPis24_2 disPis24_17
11 17:24:33.825 -34:11:54.83 M4.5-M5III 3455.0 35.0 1.232 0.066 15.12 0.01 12.64 0.01 11.37 0.01 10.46 0.04 10.32 0.06 10.05 0.06 9.64 0.08 1.786 0.023 --- --- 1.999 2.119 2.256
12 17:24:34.018 -34:13:36.79 G2-G6V 5680.0 90.0 2.403 0.02 12.62 0.05 11.09 0.06 10.12 0.04 9.08 0.06 8.6 0.04 8.25 0.04 7.69 0.04 1.625 0.005 --- --- 2.57 2.108 2.713
21 17:24:38.743 -34:12:02.81 K1-K2V 5105.0 65.0 1.785 0.023 12.19 0.04 11.1 0.05 10.55 0.04 10.27 0.06 10.06 0.07 9.75 0.08 9.69 0.08 0.825 0.005 Marg.IRE -99 0.986 1.161 1.236
34 17:24:44.628 -34:11:00.68 A9-F3V 7080.0 360.0 2.015 0.062 11.7 0.05 11.05 0.08 10.71 0.08 10.29 0.1 9.36 0.15 7.93 0.12 nan nan 0.533 0.007 --- --- 0.966 1.743 1.032
39 17:24:47.125 -34:15:41.02 G0-G4III 5440.0 250.0 2.052 0.122 12.0 0.03 11.09 0.09 10.6 0.06 10.19 0.08 9.89 0.06 9.77 0.05 9.04 0.03 0.774 0.01 --- --- 3.81 3.057 3.674
F11 17:24:40.144 -34:12:26.74 G9-K3III 4602.5 282.5 1.634 0.112 15.15 0.01 12.9 0.01 11.76 0.01 10.56 0.07 10.28 0.08 9.84 0.1 9.24 0.05 1.859 0.041 --- --- 0.852 0.709 1.028
F16 17:24:41.639 -34:12:49.99 G2-G6V 5680.0 90.0 1.827 0.02 14.42 0.01 12.98 0.01 11.85 0.01 11.0 0.04 10.44 0.03 10.22 0.06 9.77 0.05 1.916 0.005 YSO II/III 0.964 0.354 1.015
